Timestamp;BrowLowererL;BrowLowererR;CheekPuffL;CheekPuffR;CheekRaiserL;CheekRaiserR;CheekSuckL;CheekSuckR;ChinRaiserB;ChinRaiserT;DimplerL;DimplerR;EyesClosedL;EyesClosedR;EyesLookDownL;EyesLookDownR;EyesLookLeftL;EyesLookLeftR;EyesLookRightL;EyesLookRightR;EyesLookUpL;EyesLookUpR;InnerBrowRaiserL;InnerBrowRaiserR;JawDrop;JawSidewaysLeft;JawSidewaysRight;JawThrust;LidTightenerL;LidTightenerR;LipCornerDepressorL;LipCornerDepressorR;LipCornerPullerL;LipCornerPullerR;LipFunnelerLB;LipFunnelerLT;LipFunnelerRB;LipFunnelerRT;LipPressorL;LipPressorR;LipPuckerL;LipPuckerR;LipStretcherL;LipStretcherR;LipSuckLB;LipSuckLT;LipSuckRB;LipSuckRT;LipTightenerL;LipTightenerR;LipsToward;LowerLipDepressorL;LowerLipDepressorR;MouthLeft;MouthRight;NoseWrinklerL;NoseWrinklerR;OuterBrowRaiserL;OuterBrowRaiserR;UpperLidRaiserL;UpperLidRaiserR;UpperLipRaiserL;UpperLipRaiserR;TongueTipInterdental;TongueTipAlveolar;TongueFrontDorsalPalate;TongueMidDorsalPalate;TongueBackDorsalVelar;TongueOut;TongueRetreat
15,63595;0,1052;0,0720;0,0045;0,0058;0,0565;0,0289;0,0000;0,0000;0,0058;0,0076;0,0000;0,0000;0,5071;0,4172;0,1020;0,1421;0,0000;0,0413;0,0450;0,0000;0,0000;0,0000;0,0105;0,0108;0,0977;0,0058;0,0058;0,0035;0,0340;0,0006;0,0220;0,0223;0,0026;0,0000;0,0000;0,0363;0,0000;0,0362;0,0000;0,0000;0,0488;0,0516;0,0000;0,0000;0,0058;0,0091;0,0057;0,0058;0,0139;0,0058;0,0608;0,0000;0,0000;0,0058;0,0000;0,0055;0,0032;0,0009;0,0418;0,0000;0,0000;0,0006;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
15,67342;0,1146;0,0745;0,0006;0,0007;0,0071;0,0036;0,0000;0,0000;0,0007;0,0008;0,0000;0,0000;0,5329;0,4356;0,0855;0,1252;0,0000;0,0412;0,0450;0,0000;0,0000;0,0000;0,0095;0,0121;0,0115;0,0007;0,0007;0,0005;0,0315;0,0002;0,0036;0,0032;0,0005;0,0000;0,0000;0,0045;0,0000;0,0044;0,0000;0,0000;0,0058;0,0064;0,0000;0,0000;0,0007;0,0008;0,0007;0,0007;0,0017;0,0007;0,0071;0,0000;0,0000;0,0007;0,0000;0,0007;0,0010;0,0006;0,0464;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
15,68851;0,1146;0,0745;0,0006;0,0007;0,0071;0,0036;0,0000;0,0000;0,0007;0,0008;0,0000;0,0000;0,5329;0,4356;0,0855;0,1252;0,0000;0,0412;0,0450;0,0000;0,0000;0,0000;0,0095;0,0121;0,0115;0,0007;0,0007;0,0005;0,0315;0,0002;0,0036;0,0032;0,0005;0,0000;0,0000;0,0045;0,0000;0,0044;0,0000;0,0000;0,0058;0,0064;0,0000;0,0000;0,0007;0,0008;0,0007;0,0007;0,0017;0,0007;0,0071;0,0000;0,0000;0,0007;0,0000;0,0007;0,0010;0,0006;0,0464;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
15,74155;0,1327;0,0845;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,5204;0,3675;0,0888;0,1544;0,0000;0,0432;0,0430;0,0000;0,0000;0,0000;0,0063;0,0079;0,0000;0,0000;0,0000;0,0000;0,0478;0,0014;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0004;0,0370;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
15,78976;0,1251;0,0786;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,4711;0,3625;0,1070;0,1558;0,0000;0,0618;0,0244;0,0000;0,0000;0,0000;0,0056;0,0069;0,0000;0,0000;0,0000;0,0000;0,0154;0,0030;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0003;0,0380;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
15,81994;0,0849;0,0692;0,0011;0,0017;0,0156;0,0071;0,0000;0,0000;0,0021;0,0024;0,0000;0,0000;0,4586;0,3619;0,1196;0,1648;0,0000;0,0754;0,0108;0,0000;0,0000;0,0000;0,0051;0,0061;0,0283;0,0017;0,0021;0,0002;0,0068;0,0019;0,0065;0,0076;0,0016;0,0000;0,0000;0,0114;0,0000;0,0118;0,0000;0,0000;0,0129;0,0146;0,0000;0,0000;0,0017;0,0029;0,0017;0,0017;0,0024;0,0017;0,0182;0,0000;0,0000;0,0017;0,0011;0,0017;0,0004;0,0003;0,0388;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
15,84393;0,0889;0,0674;0,0026;0,0034;0,0297;0,0151;0,0000;0,0000;0,0039;0,0068;0,0000;0,0000;0,4586;0,4044;0,1196;0,1446;0,0000;0,0645;0,0218;0,0000;0,0000;0,0000;0,0041;0,0054;0,0571;0,0034;0,0039;0,0002;0,0022;0,0032;0,0174;0,0160;0,0033;0,0000;0,0000;0,0231;0,0000;0,0236;0,0000;0,0000;0,0271;0,0308;0,0000;0,0000;0,0034;0,0047;0,0034;0,0034;0,0065;0,0034;0,0378;0,0000;0,0000;0,0034;0,0013;0,0034;0,0020;0,0002;0,0395;0,0000;0,0000;0,0018;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
15,87173;0,0889;0,0674;0,0026;0,0034;0,0297;0,0151;0,0000;0,0000;0,0039;0,0068;0,0000;0,0000;0,4586;0,4044;0,1196;0,1446;0,0000;0,0645;0,0218;0,0000;0,0000;0,0000;0,0041;0,0054;0,0571;0,0034;0,0039;0,0002;0,0022;0,0032;0,0174;0,0160;0,0033;0,0000;0,0000;0,0231;0,0000;0,0236;0,0000;0,0000;0,0271;0,0308;0,0000;0,0000;0,0034;0,0047;0,0034;0,0034;0,0065;0,0034;0,0378;0,0000;0,0000;0,0034;0,0013;0,0034;0,0020;0,0002;0,0395;0,0000;0,0000;0,0018;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
15,89746;0,0921;0,0661;0,0015;0,0017;0,0154;0,0078;0,0000;0,0000;0,0019;0,0026;0,0000;0,0000;0,4667;0,3980;0,1195;0,1517;0,0000;0,0754;0,0108;0,0000;0,0000;0,0000;0,0033;0,0050;0,0287;0,0017;0,0019;0,0001;0,0026;0,0020;0,0071;0,0068;0,0017;0,0000;0,0000;0,0096;0,0000;0,0110;0,0000;0,0000;0,0113;0,0131;0,0000;0,0000;0,0017;0,0020;0,0017;0,0017;0,0024;0,0008;0,0186;0,0000;0,0000;0,0017;0,0004;0,0017;0,0005;0,0002;0,0361;0,0000;0,0000;0,0006;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
15,92914;0,0888;0,0651;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,4615;0,3462;0,1116;0,1639;0,0000;0,0660;0,0203;0,0000;0,0000;0,0000;0,0032;0,0070;0,0000;0,0000;0,0000;0,0000;0,0070;0,0013;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0002;0,0373;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
